symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,duration_hours,exit_reason,signal_score,commission_total
BTC-USDT,LONG,2025-10-02 21:30:00,2025-10-03 08:00:00,120310.18999999999,119361.4191,0.005813221242614487,-5.931739752490837,-0.8481307788309441,10.5,stop_loss,70.0,0.8359584535630292
BTC-USDT,SHORT,2025-10-03 08:45:00,2025-10-03 10:30:00,119900.979,120583.76329999999,0.005829353203685832,-4.401946054774509,-0.6297984922875274,1.75,stop_loss,70.0,0.8411223017784399
BTC-USDT,SHORT,2025-10-03 10:30:00,2025-10-03 15:15:00,120342.8367,121356.93569999999,0.0058097757210077245,-6.314721696061593,-0.9031806056969799,4.75,stop_loss,70.0,0.8425328816775677
BTC-USDT,LONG,2025-10-03 20:00:00,2025-10-05 04:30:00,122162.94089999999,124148.6271,0.005726109133785293,10.943722734100945,1.5644654669082307,32.5,take_profit,70.0,0.8462441515690662
BTC-USDT,LONG,2025-10-05 08:00:00,2025-10-05 09:30:00,124748.72409999999,122822.4546,0.005613324044562462,-11.226440243228298,-1.603193128578054,1.5,stop_loss,70.0,0.8338183500824279
BTC-USDT,LONG,2025-10-05 09:30:00,2025-10-06 01:45:00,123068.34539999998,123851.5245,0.005683344069656006,4.0287417970927,0.5759955437736983,16.25,take_profit,70.0,0.8419983469658383
BTC-USDT,LONG,2025-10-06 04:30:00,2025-10-06 13:00:00,123796.47279999999,124530.5448,0.005651957366976951,3.7266388502339796,0.5326110334219594,8.5,take_profit,70.0,0.8421202299262409
BTC-USDT,LONG,2025-10-06 20:15:00,2025-10-07 02:45:00,125198.07299999999,124061.9139,0.005590532244749544,-6.76787736171754,-0.9669447934234499,6.5,stop_loss,70.0,0.8360975964541792
BTC-USDT,SHORT,2025-10-07 04:30:00,2025-10-07 07:30:00,124407.8676,123770.94729999999,0.0056219974617537395,3.163260339003827,0.4522686084686275,3.0,take_profit,70.0,0.8371564004573105
BTC-USDT,SHORT,2025-10-07 09:00:00,2025-10-07 12:45:00,123935.3406,124995.87099999998,0.005640937105067087,-6.405441592434024,-0.9162260878153337,3.75,stop_loss,70.0,0.8425231848742478
BTC-USDT,SHORT,2025-10-07 12:45:00,2025-10-07 13:30:00,124746.129,123868.64489999998,0.005607157972546267,4.503461331217953,0.6438379447109064,0.75,take_profit,70.0,0.8364133869397035
BTC-USDT,LONG,2025-10-07 13:30:00,2025-10-07 14:00:00,123868.64489999998,122676.1011,0.005643625874459313,-7.145673857113396,-1.0221710762091216,0.5,stop_loss,70.0,0.8348437846425594
BTC-USDT,LONG,2025-10-07 14:00:00,2025-10-07 15:00:00,122921.69889999997,121796.8812,0.005682794312190394,-6.807395602046446,-0.9745194212573404,1.0,stop_loss,70.0,0.8344112130477535
BTC-USDT,SHORT,2025-10-07 19:45:00,2025-10-08 08:30:00,121470.8076,122905.78299999998,0.005746507237635588,-8.669863904862975,-1.2420423471359066,12.75,stop_loss,70.0,0.8425871079549653
BTC-USDT,SHORT,2025-10-08 08:30:00,2025-10-08 17:00:00,122660.217,123760.33669999999,0.0056950096598460944,-6.688082106294263,-0.957421999359402,8.5,stop_loss,70.0,0.8420204602236738
BTC-USDT,LONG,2025-10-08 20:30:00,2025-10-09 01:00:00,123417.29399999998,122454.52290000001,0.005663150763327357,-5.868404944774756,-0.839626101136174,4.5,stop_loss,70.0,0.8354455005347513
BTC-USDT,LONG,2025-10-09 01:00:00,2025-10-09 02:15:00,122699.67709999999,121844.2338,0.005692684901829852,-5.285941656358388,-0.7567663275293042,1.25,stop_loss,70.0,0.8352668576489126
BTC-USDT,SHORT,2025-10-09 05:45:00,2025-10-09 08:15:00,121928.7492,121258.83769999999,0.005725403166568798,3.4189599834157294,0.4897583230354475,2.5,take_profit,70.0,0.8354081880644908
BTC-USDT,SHORT,2025-10-09 09:45:00,2025-10-09 11:15:00,121627.85040000001,122758.7361,0.005736879176585766,-6.910305845554174,-0.9903496096482719,1.5,stop_loss,70.0,0.8412097914772356
BTC-USDT,SHORT,2025-10-09 11:15:00,2025-10-09 12:30:00,122513.4639,123616.2928,0.005698635220703164,-6.7072861079509885,-0.9607096544431253,1.25,stop_loss,70.0,0.8415622202362323
BTC-USDT,SHORT,2025-10-09 12:30:00,2025-10-09 13:45:00,123369.3072,122485.56319999999,0.005662190785232078,4.587805156939171,0.6567700512141695,1.25,take_profit,70.0,0.835246309009984
BTC-USDT,LONG,2025-10-09 13:45:00,2025-10-09 14:30:00,122485.56319999999,121122.45629999999,0.005699706920785449,-8.183527333161779,-1.1722037571363342,0.75,stop_loss,70.0,0.8330965888217918
BTC-USDT,LONG,2025-10-09 14:30:00,2025-10-09 16:45:00,121364.94369999999,119634.5457,0.005747373356363259,-10.357794001378275,-1.4849252778255,2.25,stop_loss,70.0,0.8310684265648258
BTC-USDT,LONG,2025-10-09 16:45:00,2025-10-10 00:15:00,119874.05429999999,121705.7724,0.005812561409235411,10.222520575098027,1.4671186745370746,7.5,take_profit,70.0,0.8425185467557188
BTC-USDT,SHORT,2025-10-10 00:15:00,2025-10-10 02:30:00,121705.7724,121321.19999999998,0.0057307192593795435,1.7867218168593009,0.2561749322582001,2.25,take_profit,70.0,0.8356316107688284
BTC-USDT,LONG,2025-10-10 02:30:00,2025-10-10 13:15:00,121321.19999999998,121790.68740000001,0.005747131155193306,2.2782374311294893,0.3267466754038266,10.75,take_profit,70.0,0.8383175413646321
BTC-USDT,LONG,2025-10-10 14:15:00,2025-10-10 14:45:00,121281.15999999999,120302.6769,0.0057501019983152235,-6.0414292263347935,-0.8663049612487076,0.5,stop_loss,70.0,0.8334790219916094
BTC-USDT,LONG,2025-10-10 14:45:00,2025-10-10 15:15:00,120543.52309999999,119056.72409999999,0.005781537096192977,-9.008982093243834,-1.2926725504507832,0.5,stop_loss,70.0,0.8311546304662842
BTC-USDT,SHORT,2025-10-10 23:30:00,2025-10-13 22:15:00,114369.41609999999,115721.60599999999,0.006087877114152694,-8.654665296266641,-1.2430096367345165,70.75,backtest_end,70.0,0.8404595205687548
