ℹ️ 22:07:02 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=89.6 News=50.0 Risk=45.8 | Final=51.4 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:07:02 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=94.1 News=50.0 Risk=45.8 | Final=52.5 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:07:04 | ETH-USDT-SWAP | tf=15m | TA=27.2 ML=29.6 News=50.0 Risk=45.8 | Final=35.2 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:07:04 | ETH-USDT-SWAP | tf=15m | TA=27.2 ML=29.6 News=50.0 Risk=45.8 | Final=35.2 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:07:06 | SOL-USDT-SWAP | tf=15m | TA=30.5 ML=95.9 News=50.0 Risk=47.2 | Final=53.3 (D) | Dir=flat | Gate=PENDING (persist 1/5, conf 1/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:07:06 | SOL-USDT-SWAP | tf=15m | TA=30.5 ML=95.9 News=50.0 Risk=47.2 | Final=53.3 (D) | Dir=flat | Gate=PENDING (persist 1/5, conf 1/0.0, age 2/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:08:02 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=77.0 News=50.0 Risk=45.8 | Final=48.2 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:08:02 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=77.0 News=50.0 Risk=45.8 | Final=48.2 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:08:04 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=23.1 News=50.0 Risk=45.8 | Final=34.4 (D) | Dir=short | Gate=PENDING (persist 1/5, conf 1/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:08:05 | ETH-USDT-SWAP | tf=15m | TA=29.5 ML=10.7 News=50.0 Risk=45.8 | Final=31.3 (D) | Dir=short | Gate=PENDING (persist 1/5, conf 1/0.0, age 3/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:09:02 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=46.4 News=50.0 Risk=45.8 | Final=40.6 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 4/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:09:02 | BTC-USDT-SWAP | tf=15m | TA=30.2 ML=46.4 News=50.0 Risk=45.8 | Final=40.6 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 4/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:10:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=77.0 News=50.0 Risk=45.8 | Final=49.4 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 5/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:10:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=77.0 News=50.0 Risk=45.8 | Final=49.4 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 5/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:11:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=77.0 News=50.0 Risk=45.8 | Final=49.4 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 6/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:11:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=77.0 News=50.0 Risk=45.8 | Final=49.4 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 6/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:12:02 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=89.6 News=50.0 Risk=45.8 | Final=52.6 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 7/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
ℹ️ 22:12:03 | BTC-USDT-SWAP | tf=15m | TA=33.2 ML=77.0 News=50.0 Risk=45.8 | Final=49.4 (D) | Dir=short | Gate=PENDING (persist 0/5, conf 0/0.0, age 7/6, hyst=fail) | size=0.0% lev=1x SL=2.0ATR TP=4.0ATR | risk: exp=0% tier=T1 cb=OK | state: READY→READY | SKIP: No applicable transition rule
