UID:548615070318948634,Account Type:Main
id,Order id,Time,Trade Type,Symbol,Action,Amount,Trading Unit,Filled Price,PnL,Fee,Fee Unit,Position Change,Position Balance,Balance Change,Balance,Balance Unit
3138764265615253507,3138764265548144640,2025-12-18 11:01:04,Swap,SUI-USDT-SWAP,Buy,2,cont,1.39860000,0.02420000,-0.00139860,USDT,0.00000000,0.00000000,0.02280140,470.47226888,USDT
3138764265615253504,3138764265548144640,2025-12-18 11:01:04,Swap,SUI-USDT-SWAP,Buy,1,cont,1.39860000,0.01210000,-0.00069930,USDT,0.00000000,0.00000000,0.01140070,470.42666608,USDT
3138764265615253506,3138764265548144640,2025-12-18 11:01:04,Swap,SUI-USDT-SWAP,Buy,1,cont,1.39860000,0.01210000,-0.00069930,USDT,0.00000000,0.00000000,0.01140070,470.44946748,USDT
3138764265615253508,3138764265548144640,2025-12-18 11:01:04,Swap,SUI-USDT-SWAP,Buy,59,cont,1.39860000,0.71390000,-0.04125870,USDT,0.00000000,0.00000000,0.67264130,471.14491018,USDT
3138764265581699073,3138764265548144640,2025-12-18 11:01:04,Swap,SUI-USDT-SWAP,Buy,7,cont,1.39860000,0.08470000,-0.00489510,USDT,0.00000000,0.00000000,0.07980490,470.41526538,USDT
3138764265581699072,3138764265548144640,2025-12-18 11:01:04,Swap,SUI-USDT-SWAP,Buy,12,cont,1.39860000,0.14520000,-0.00839160,USDT,0.00000000,0.00000000,0.13680840,470.33546048,USDT
3138762153296650334,0,2025-12-18 11:00:01,Swap,SUI-USDT-SWAP,Funding fee income,83,cont,1.39690000,0.00005861,0.00000000,USDT,0.00000000,0.00000000,0.00005862,470.19865208,USDT
3138762150444523596,0,2025-12-18 11:00:01,Swap,XRP-USDT-SWAP,Funding fee expense,0.76,cont,1.84020000,-0.01463737,0.00000000,USDT,0.00000000,0.00000000,-0.01463736,470.19859346,USDT
3138762125345808476,0,2025-12-18 11:00:00,Swap,SOL-USDT-SWAP,Funding fee income,1.02,cont,122.75000000,0.00057689,0.00000000,USDT,0.00000000,0.00000000,0.00057689,470.21323083,USDT
3138762121453494292,0,2025-12-18 11:00:00,Swap,NEAR-USDT-SWAP,Funding fee expense,6,cont,1.47400000,-0.02899359,0.00000000,USDT,0.00000000,0.00000000,-0.02899359,470.21265393,USDT
3138762120648187998,0,2025-12-18 11:00:00,Swap,ETH-USDT-SWAP,Funding fee expense,0.47,cont,2834.85000000,-0.00170224,0.00000000,USDT,0.00000000,0.00000000,-0.00170224,470.24164752,USDT
3138762104844050454,0,2025-12-18 11:00:00,Swap,MINA-USDT-SWAP,Funding fee expense,10617,cont,0.07627000,-0.04048793,0.00000000,USDT,-0.04048793,132.34931656,0.00000000,470.24334976,USDT
3138762103602536534,0,2025-12-18 11:00:00,Swap,BTC-USDT-SWAP,Funding fee expense,0.17,cont,86789.40000000,-0.00213670,0.00000000,USDT,0.00000000,0.00000000,-0.00213670,470.24334976,USDT
